file,raw_tag,catalog_key,status,canonical,jpm_prefix
wiki/exams/2012/q17-abnormal-grid-rapid-load-reduction.md,077 AA1.02 (RO 3.6 / SRO 3.6),077 AA1.02,RESOLVED,077 AA1.02 (RO 3.6 / SRO 3.6),
wiki/exams/2012/q18-trip-3-si-termination-charging-restoration.md,WE02 EK2.01 (RO 3.4 / SRO 3.9),WE02 EK2.01,NUMBER_NOT_IN_CATALOG,,
wiki/exams/2012/q19-loca-2-alarm-required-response.md,WE03 EK1.03 (RO 3.5 / SRO 3.8),WE03 EK1.03,DELETED_IN_REV3,WE03 EK1.03 (RO 3.5 / SRO 3.8),
wiki/exams/2012/q2-afw-flow-required-for-decay-heat-removal.md,007 EK1.06 (RO 3.9 / SRO 3.9),007 EK1.06,RESOLVED,007 EK1.06 (RO 3.9 / SRO 3.9),
wiki/exams/2012/q20-loca-6-leak-isolation-component.md,WE04 EA1.01 (RO 4.0 / SRO 4.0),WE04 EA1.01,DELETED_IN_REV3,WE04 EA1.01 (RO 4.0 / SRO 4.0),
wiki/exams/2012/q21-frhs-1-rcs-pressure-below-sg.md,WE05 EK3.02 (RO 3.7 / SRO 4.1),WE05 EK3.02,DELETED_IN_REV3,WE05 EK3.02 (RO 3.7 / SRO 4.1),
wiki/exams/2012/q22-frts-1-terminate-si-start-rcp.md,WE08 EK1.02 (RO 3.4 / SRO 4.0),WE08 EK1.02,DELETED_IN_REV3,WE08 EK1.02 (RO 3.4 / SRO 4.0),
wiki/exams/2012/q23-trip-5-natural-circ-cooldown-time.md,WE10 EA1.02 (RO 3.6 / SRO 3.8),WE10 EA1.02,NUMBER_NOT_IN_CATALOG,,
wiki/exams/2012/q24-loca-5-minimum-si-flow-pumps.md,WE11 EA2.02 (RO 3.4 / SRO 4.2),WE11 EA2.02,DELETED_IN_REV3,WE11 EA2.02 (RO 3.4 / SRO 4.2),
wiki/exams/2012/q25-losc-2-required-action.md,WE12 EK1.01 (RO 3.4 / SRO 3.8),WE12 EK1.01,DELETED_IN_REV3,WE12 EK1.01 (RO 3.4 / SRO 3.8),
wiki/exams/2012/q26-frce-2-validate-containment-sump-level.md,G2.1.45 (RO 4.3 / SRO 4.3),G2.1.45,RESOLVED,G2.1.45 (RO 4.3 / SRO 4.3),
wiki/exams/2012/q27-smm-adverse-mode-radiation-monitors.md,WE16 EA2.02 (RO 3.3 / SRO 3.7),WE16 EA2.02,RESOLVED,WE16 EA2.02 (RO 3.3 / SRO 3.7),
wiki/exams/2012/q28-rod-control-auto-rod-speed.md,001 A1.01 (RO 3.7 / SRO 3.7),001 A1.01,RESOLVED,001 A1.01 (RO 3.7 / SRO 3.7),
wiki/exams/2012/q29-rcp-trip-idle-loop-tavg-effect.md,003 K5.03 (RO 3.5 / SRO 3.5),003 K5.03,RESOLVED,003 K5.03 (RO 3.5 / SRO 3.5),
wiki/exams/2012/q3-lbloca-time-to-cold-leg-recirc-swap.md,011 EK2.02 (RO 2.6 / SRO 2.7),011 EK2.02,DELETED_IN_REV3,011 EK2.02 (RO 2.6 / SRO 2.7),
wiki/exams/2012/q30-loss-of-seal-injection-flow-impact.md,003 K6.02 (RO 4.1 / SRO 4.1),003 K6.02,RESOLVED,003 K6.02 (RO 4.1 / SRO 4.1),
wiki/exams/2012/q31-vct-level-pressure-rise-response.md,004 A2.18 (RO 3.5 / SRO 3.4),004 A2.18,RESOLVED,004 A2.18 (RO 3.5 / SRO 3.4),
wiki/exams/2012/q32-letdown-demin-bypass-divert-temperature.md,004 K4.16 (RO 2.6 / SRO 3.0),004 K4.16,DELETED_IN_REV3,004 K4.16 (RO 2.6 / SRO 3.0),
wiki/exams/2012/q33-rhr-flow-adjustment-lower-cooldown-rate.md,005 A4.02 (RO 3.9 / SRO 3.9),005 A4.02,RESOLVED,005 A4.02 (RO 3.9 / SRO 3.9),
wiki/exams/2012/q34-rhr-hx-fcv-air-line-failure-effect.md,005 K4.10 (RO 3.9 / SRO 3.9),005 K4.10,RESOLVED,005 K4.10 (RO 3.9 / SRO 3.9),
wiki/exams/2012/q35-loss-of-all-ac-power-one-day-consequence.md,006 K3.01 (RO 4.1 / SRO 4.1),006 K3.01,RESOLVED,006 K3.01 (RO 4.1 / SRO 4.1),
wiki/exams/2012/q36-eccs-valves-failing-to-reposition-on-si.md,006 K6.10 (RO 3.3 / SRO 3.3),006 K6.10,RESOLVED,006 K6.10 (RO 3.3 / SRO 3.3),
wiki/exams/2012/q37-prt-response-during-vacuum-refill-bubble.md,007 K5.02 (RO 3.4 / SRO 3.4),007 K5.02,RESOLVED,007 K5.02 (RO 3.4 / SRO 3.4),
wiki/exams/2012/q38-ccw-surge-tank-vent-valve-positions.md,008 K4.02 (RO 3.2 / SRO 3.2),008 K4.02,RESOLVED,008 K4.02 (RO 3.2 / SRO 3.2),
wiki/exams/2012/q39-pzr-heater-groups-available-on-2a-bus-loss.md,010 K2.01 (RO 3.4 / SRO 3.4),010 K2.01,RESOLVED,010 K2.01 (RO 3.4 / SRO 3.4),
wiki/exams/2012/q4-22-rcp-breaker-open-flow-low-diagnosis.md,015 AK2.10 (RO 2.8 / SRO 2.8),015 AK2.10,DELETED_IN_REV3,015 AK2.10 (RO 2.8 / SRO 2.8),
wiki/exams/2012/q40-pzr-level-after-downpower-charging-fails-as-is.md,011 K6.04 (RO 3.1 / SRO 3.1),011 K6.04,DELETED_IN_REV3,011 K6.04 (RO 3.1 / SRO 3.1),
wiki/exams/2012/q41-containment-pressure-channel-iv-fails-high.md,012 A3.01 (RO 3.8 / SRO 3.9),012 A3.01,DELETED_IN_REV3,012 A3.01 (RO 3.8 / SRO 3.9),
wiki/exams/2012/q42-valve-failed-to-reposition-on-loca.md,013 A4.03 (RO 4.4 / SRO 4.4),013 A4.03,RESOLVED,013 A4.03 (RO 4.4 / SRO 4.4),
wiki/exams/2012/q43-intermediate-range-ni-compensation-condition.md,015 A2.02 (RO 3.5 / SRO 3.6),015 A2.02,RESOLVED,015 A2.02 (RO 3.5 / SRO 3.6),
wiki/exams/2012/q44-superheat-condition-and-applicable-cfst.md,017 K5.03 (RO 3.7 / SRO 4.1),017 K5.03,DELETED_IN_REV3,017 K5.03 (RO 3.7 / SRO 4.1),
wiki/exams/2012/q45-first-action-restore-min-complement-containment-integrity.md,022 A1.02 (RO 3.9 / SRO 3.9),022 A1.02,RESOLVED,022 A1.02 (RO 3.9 / SRO 3.9),
wiki/exams/2012/q46-expected-locked-in-overhead-alarms-after-loca.md,G2.4.31 (RO 4.2 / SRO 4.1),G2.4.31,RESOLVED,G2.4.31 (RO 4.2 / SRO 4.1),
wiki/exams/2012/q47-iru-availability-after-loca-loop.md,027 K2.01 (RO 3.1 / SRO 3.4),027 K2.01,DELETED_IN_REV3,027 K2.01 (RO 3.1 / SRO 3.4),
wiki/exams/2012/q48-sfp-anti-siphon-prevents-fuel-uncovery.md,033 K4.03 (RO 2.6 / SRO 2.9),033 K4.03,DELETED_IN_REV3,033 K4.03 (RO 2.6 / SRO 2.9),
wiki/exams/2012/q49-msiv-fast-close-after-normal-close-pb.md,G2.1.28 (RO 4.1 / SRO 4.1),G2.1.28,RESOLVED,G2.1.28 (RO 4.1 / SRO 4.1),
wiki/exams/2012/q5-1a-460v-bus-loss-consequence.md,022 AK1.03 (RO 3.6 / SRO 3.6),022 AK1.03,RESOLVED,022 AK1.03 (RO 3.6 / SRO 3.6),
wiki/exams/2012/q50-ms-dump-setpoint-lowered-during-startup-effect.md,039 K5.08 (RO 4 / SRO 4),039 K5.08,RESOLVED,039 K5.08 (RO 4 / SRO 4),
wiki/exams/2012/q51-steam-dumps-fail-to-arm-on-trip-rcs-effect.md,041 K3.02 (RO 4 / SRO 4),041 K3.02,RESOLVED,041 K3.02 (RO 4 / SRO 4),
wiki/exams/2012/q52-automatic-actions-on-main-turbine-trip.md,045 A3.11 (RO 3.7 / SRO 3.7),045 A3.11,RESOLVED,045 A3.11 (RO 3.7 / SRO 3.7),
wiki/exams/2012/q53-sg-feed-delta-p-programmed-value.md,059 A1.07 (RO 3.4 / SRO 3.4),059 A1.07,RESOLVED,059 A1.07 (RO 3.4 / SRO 3.4),
wiki/exams/2012/q54-overcooling-prevention-on-manual-rx-trip.md,059 K1.05 (RO 3.6 / SRO 3.6),059 K1.05,RESOLVED,059 K1.05 (RO 3.6 / SRO 3.6),
wiki/exams/2012/q55-23-afw-pump-utilization-during-sgtr.md,061 K1.03 (RO 3.1 / SRO 3.1),061 K1.03,RESOLVED,061 K1.03 (RO 3.1 / SRO 3.1),
wiki/exams/2012/q56-effect-of-21-afw-pump-failure-to-start.md,061 K3.02 (RO 4.3 / SRO 4.3),061 K3.02,RESOLVED,061 K3.02 (RO 4.3 / SRO 4.3),
wiki/exams/2012/q57-1c-vib-inverter-latched-transfer-effect.md,062 A1.03 (RO 3.5 / SRO 3.5),062 A1.03,RESOLVED,062 A1.03 (RO 3.5 / SRO 3.5),
wiki/exams/2012/q58-unit-1-vital-125vdc-loads.md,063 K2.01 (RO 3.5 / SRO 3.5),063 K2.01,RESOLVED,063 K2.01 (RO 3.5 / SRO 3.5),
wiki/exams/2012/q59-dfost-capacity-design-basis.md,064 K1.03 (RO 3.6 / SRO 4.0),064 K1.03,DELETED_IN_REV3,064 K1.03 (RO 3.6 / SRO 4.0),
wiki/exams/2012/q6-ccw-automatic-response-on-si.md,026 AK3.02 (RO 3.9 / SRO 3.9),026 AK3.02,RESOLVED,026 AK3.02 (RO 3.9 / SRO 3.9),
wiki/exams/2012/q60-rhr-pump-room-cooler-leak-tank-level.md,068 K1.07 (RO 2.8 / SRO 2.8),068 K1.07,RESOLVED,068 K1.07 (RO 2.8 / SRO 2.8),
wiki/exams/2012/q61-2r18-high-rad-during-liquid-release.md,073 K3.01 (RO 3.6 / SRO 4.2),073 K3.01,DELETED_IN_REV3,073 K3.01 (RO 3.6 / SRO 4.2),
wiki/exams/2012/q62-sw-leak-response-standby-pump-start-isolation.md,076 A2.02 (RO 2.7 / SRO 3.1),076 A2.02,DELETED_IN_REV3,076 A2.02 (RO 2.7 / SRO 3.1),
wiki/exams/2012/q63-control-air-normal-pressure-ecac-auto-start.md,078 A3.01 (RO 3.1 / SRO 3.2),078 A3.01,DELETED_IN_REV3,078 A3.01 (RO 3.1 / SRO 3.2),
wiki/exams/2012/q64-fire-protection-panel-indication-and-reset.md,086 A4.02 (RO 3.2 / SRO 3.2),086 A4.02,RESOLVED,086 A4.02 (RO 3.2 / SRO 3.2),
wiki/exams/2012/q65-cvi-during-containment-vacuum-relief.md,103 A4.09 (RO 3 / SRO 3),103 A4.09,RESOLVED,103 A4.09 (RO 3 / SRO 3),
wiki/exams/2012/q66-rcp-thermal-barrier-purpose.md,G2.1.28 (RO 4.1 / SRO 4.1),G2.1.28,RESOLVED,G2.1.28 (RO 4.1 / SRO 4.1),
wiki/exams/2012/q67-suspend-fuel-movement-conditions.md,G2.1.40 (RO 2.8 / SRO 3.9),G2.1.40,RESOLVED,G2.1.40 (RO 2.8 / SRO 3.9),
wiki/exams/2012/q68-dollar-sign-significance-surveillance-procedure.md,G2.2.12 (RO 3.7 / SRO 4.1),G2.2.12,RESOLVED,G2.2.12 (RO 3.7 / SRO 4.1),
wiki/exams/2012/q69-2cv35-troubleshooting-first-action.md,G2.2.20 (RO 2.6 / SRO 3.8),G2.2.20,RESOLVED,G2.2.20 (RO 2.6 / SRO 3.8),
wiki/exams/2012/q7-pzr-master-pressure-controller-fails-high.md,027 AA1.01 (RO 3.8 / SRO 3.8),027 AA1.01,RESOLVED,027 AA1.01 (RO 3.8 / SRO 3.8),
wiki/exams/2012/q70-gdt-pressure-lowering-confirmation.md,G2.2.44 (RO 4.2 / SRO 4.4),G2.2.44,RESOLVED,G2.2.44 (RO 4.2 / SRO 4.4),
wiki/exams/2012/q71-2r19a-sg-blowdown-isol-valve-response.md,G2.3.14 (SRO 3.8),G2.3.14,RESOLVED,G2.3.14 (SRO 3.8),
wiki/exams/2012/q72-loca-1-area-rad-monitor-outside-containment.md,G2.3.15 (RO 2.9 / SRO 3.1),G2.3.15,DELETED_IN_REV3,G2.3.15 (RO 2.9 / SRO 3.1),
wiki/exams/2012/q73-cfst-1-rcs-saturation-temp-determination.md,G2.4.3 (RO 3.7 / SRO 3.9),G2.4.3,RESOLVED,G2.4.3 (RO 3.7 / SRO 3.9),
wiki/exams/2012/q74-eop-conditional-actions-applicable-all-times.md,G2.4.19 (RO 3.4 / SRO 4.1),G2.4.19,RESOLVED,G2.4.19 (RO 3.4 / SRO 4.1),
